"库区代码","品名代码","品名中文","库存量"
BFM5,A2MMFFM1,"1级肥煤",20041.86000
BFM5,A2MMGPS,国内贫瘦煤,34118.22000
BFM5,A2MMJPS1,"1级贫瘦煤",600.00000
BFM5,A2MMSYM2,"2级1/3焦煤",61762.38000
BFM5,A2MMZJM2,"2级主焦煤",10499.88000
LJM1,A2MMFFM1,"1级肥煤",58349.84000
LJM1,A2MMFFM2,"2级肥煤",78912.23700
LJM1,A2MMJPS1,"1级贫瘦煤",33531.70500
LJM1,A2MMQQM1,"1级气煤",10240.39000
LJM1,A2MMQQM2,"2级气煤",23253.16000
LJM1,A2MMSJM2,"2级瘦焦煤",22892.48200
LJM1,A2MMSYM1,"1级1/3焦煤",24987.26600
LJM1,A2MMSYM2,"2级1/3焦煤",8641.38000
LJM1,A2MMSYM3,"3级1/3焦煤",22733.36800
LJM1,A2MMZJM1,"1级主焦煤",155633.53000
LJM1,A2MMZJM2,"2级主焦煤",18546.02500
LJM1,A2MMZJM3,"3级主焦煤",112118.51000
LJM4,A2MMFFM1,"1级肥煤",26436.08600
LJM4,A2MMFFM2,"2级肥煤",22501.80500
LJM4,A2MMQQM1,"1级气煤",9057.47800
LJM4,A2MMSJM2,"2级瘦焦煤",12055.24000
LJM4,A2MMSYM1,"1级1/3焦煤",7616.14600
LJM4,A2MMSYM2,"2级1/3焦煤",35918.19000
LJM4,A2MMSYM3,"3级1/3焦煤",9809.91200
LJM4,A2MMZJM1,"1级主焦煤",94023.52900
LJM4,A2MMZJM2,"2级主焦煤",62566.93900
LJM4,A2MMZJM3,"3级主焦煤",58042.07600
LJM5,A2MMFFM1,"1级肥煤",15907.97200
LJM5,A2MMGPS,国内贫瘦煤,66563.25000
LJM5,A2MMJPS1,"1级贫瘦煤",10159.09600
LJM5,A2MMQQM1,"1级气煤",4947.12000
LJM5,A2MMSYM1,"1级1/3焦煤",3538.80000
LJM5,A2MMSYM2,"2级1/3焦煤",11842.80000
LJM5,A2MMSYM3,"3级1/3焦煤",15581.52000
LJM5,A2MMZJM1,"1级主焦煤",73718.55400
LJM5,A2MMZJM2,"2级主焦煤",42733.56600
LJM5,A2MMZJM3,"3级主焦煤",52380.20600
LJXX,A2MMFFM1,"1级肥煤",1664.16000
LJXX,A2MMFFM2,"2级肥煤",1049.96000
LJXX,A2MMJPS1,"1级贫瘦煤",3769.74000
LJXX,A2MMQQM1,"1级气煤",1179.02000
LJXX,A2MMSJM2,"2级瘦焦煤",338.60000
LJXX,A2MMSYM3,"3级1/3焦煤",714.64000
LJXX,A2MMZJM1,"1级主焦煤",11468.08200
LJXX,A2MMZJM2,"2级主焦煤",79.80000
LJXX,A2MMZJM3,"3级主焦煤",1554.40000
