"合同编号","采购订单号","煤种_品名代码","发货单位代码","供应商_发货单位名称","发站名称","收货单位_焦化厂","铁路车号","货票重量","制表_发出时间","生成时间","到厂_进厂交接时间","在途状态","状态","物料品名代码","采购物料代码","关联状态","收货单位"
"212010226001","450017151900010",G3MMZJ1,"813167",贵州松河煤业发展有限责任公司,松河,焦化厂,"1642207",70.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMZJ1,A2MMZJM3,已匹配,焦化厂
"212010126001","450017151700010",G3MMSY1,"800905",贵州盘江精煤股份有限公司,柏果,焦化厂,"4201765",61.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMSY1,A2MMFFM1,已匹配,焦化厂
"212010226001","450017151900010",G3MMZJ1,"813167",贵州松河煤业发展有限责任公司,松河,焦化厂,"4969553",61.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMZJ1,A2MMZJM3,已匹配,焦化厂
"212010226001","450017151900010",G3MMZJ1,"813167",贵州松河煤业发展有限责任公司,松河,焦化厂,"1521614",70.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMZJ1,A2MMZJM3,已匹配,焦化厂
"212010126001","450017151700010",G3MMSY1,"800905",贵州盘江精煤股份有限公司,柏果,焦化厂,"1877506",70.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMSY1,A2MMFFM1,已匹配,焦化厂
"212010226001","450017151900010",G3MMZJ1,"813167",贵州松河煤业发展有限责任公司,松河,焦化厂,"1887448",70.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMZJ1,A2MMZJM3,已匹配,焦化厂
"212010926005","450018710300010",G3MMJPS1,"848300",贵州盘江马依煤业有限公司,瓦窑田,焦化厂,"4919016",61.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMJPS1,A2MMJPS1,已匹配,焦化厂
"212010126001","450017151700010",G3MMSY1,"800905",贵州盘江精煤股份有限公司,柏果,焦化厂,"1757943",70.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMSY1,A2MMFFM1,已匹配,焦化厂
"212010126001","450017151700010",G3MMSY1,"800905",贵州盘江精煤股份有限公司,柏果,焦化厂,"1834686",70.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMSY1,A2MMFFM1,已匹配,焦化厂
"212010926005","450018710300010",G3MMJPS1,"848300",贵州盘江马依煤业有限公司,瓦窑田,焦化厂,"4960105",61.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMJPS1,A2MMJPS1,已匹配,焦化厂
"212010126001","450017151700010",G3MMSY1,"800905",贵州盘江精煤股份有限公司,柏果,焦化厂,"1810354",70.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMSY1,A2MMFFM1,已匹配,焦化厂
"212010126001","450017151700010",G3MMSY1,"800905",贵州盘江精煤股份有限公司,柏果,焦化厂,"1802255",70.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMSY1,A2MMFFM1,已匹配,焦化厂
"212010126001","450017151700010",G3MMSY1,"800905",贵州盘江精煤股份有限公司,柏果,焦化厂,"1661868",70.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMSY1,A2MMFFM1,已匹配,焦化厂
"212010926005","450018710300010",G3MMJPS1,"848300",贵州盘江马依煤业有限公司,瓦窑田,焦化厂,"1745896",70.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMJPS1,A2MMJPS1,已匹配,焦化厂
"212010926005","450018710300010",G3MMJPS1,"848300",贵州盘江马依煤业有限公司,瓦窑田,焦化厂,"1501126",70.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMJPS1,A2MMJPS1,已匹配,焦化厂
"212010926005","450018710300010",G3MMJPS1,"848300",贵州盘江马依煤业有限公司,瓦窑田,焦化厂,"1570982",70.000,"20260911000009","20260910215737","20260910220700",在途,"2",G3MMJPS1,A2MMJPS1,已匹配,焦化厂
