"库区代码","品名代码","品名中文","库存量"
BFM5,A2MMFFM1,"1级肥煤",30062.79000
BFM5,A2MMGPS,国内贫瘦煤,41072.88000
BFM5,A2MMJPS1,"1级贫瘦煤",900.00000
BFM5,A2MMSYM2,"2级1/3焦煤",90443.57000
BFM5,A2MMZJM2,"2级主焦煤",15749.82000
LJM1,A2MMFFM1,"1级肥煤",87708.48500
LJM1,A2MMFFM2,"2级肥煤",120778.04300
LJM1,A2MMJPS1,"1级贫瘦煤",42125.16600
LJM1,A2MMQQM1,"1级气煤",15006.43000
LJM1,A2MMQQM2,"2级气煤",42649.13000
LJM1,A2MMSJM2,"2级瘦焦煤",39791.76300
LJM1,A2MMSYM1,"1级1/3焦煤",36779.32900
LJM1,A2MMSYM2,"2级1/3焦煤",10441.20000
LJM1,A2MMSYM3,"3级1/3焦煤",36866.37200
LJM1,A2MMZJM1,"1级主焦煤",238598.17000
LJM1,A2MMZJM2,"2级主焦煤",31538.97600
LJM1,A2MMZJM3,"3级主焦煤",171897.32000
LJM4,A2MMFFM1,"1级肥煤",38209.87400
LJM4,A2MMFFM2,"2级肥煤",32855.78100
LJM4,A2MMQQM1,"1级气煤",12172.28700
LJM4,A2MMSJM2,"2级瘦焦煤",25439.47000
LJM4,A2MMSYM1,"1级1/3焦煤",7745.56400
LJM4,A2MMSYM2,"2级1/3焦煤",52082.20000
LJM4,A2MMSYM3,"3级1/3焦煤",15502.42600
LJM4,A2MMZJM1,"1级主焦煤",136402.24900
LJM4,A2MMZJM2,"2级主焦煤",82519.48900
LJM4,A2MMZJM3,"3级主焦煤",87902.13700
LJM5,A2MMFFM1,"1级肥煤",39344.59300
LJM5,A2MMGPS,国内贫瘦煤,105577.23000
LJM5,A2MMJPS1,"1级贫瘦煤",18719.80400
LJM5,A2MMQQM1,"1级气煤",7340.68000
LJM5,A2MMSJM2,"2级瘦焦煤",12554.62000
LJM5,A2MMSYM1,"1级1/3焦煤",5308.20000
LJM5,A2MMSYM2,"2级1/3焦煤",17764.20000
LJM5,A2MMSYM3,"3级1/3焦煤",23372.28000
LJM5,A2MMZJM1,"1级主焦煤",134957.25000
LJM5,A2MMZJM2,"2级主焦煤",63968.80500
LJM5,A2MMZJM3,"3级主焦煤",83045.75900
