"库区代码","品名代码","品名中文","库存量"
BFM5,A2MMFFM1,"1级肥煤",3340.31000
BFM5,A2MMGPS,国内贫瘦煤,3561.32000
BFM5,A2MMJPS1,"1级贫瘦煤",100.00000
BFM5,A2MMSYM2,"2级1/3焦煤",10293.73000
BFM5,A2MMZJM2,"2级主焦煤",1749.98000
LJM1,A2MMFFM1,"1级肥煤",7142.05500
LJM1,A2MMFFM2,"2级肥煤",13906.18200
LJM1,A2MMJPS1,"1级贫瘦煤",4419.40700
LJM1,A2MMQQM1,"1级气煤",640.26000
LJM1,A2MMQQM2,"2级气煤",2994.14000
LJM1,A2MMSJM2,"2级瘦焦煤",7340.49700
LJM1,A2MMSYM1,"1级1/3焦煤",4013.02100
LJM1,A2MMSYM2,"2级1/3焦煤",961.11000
LJM1,A2MMSYM3,"3级1/3焦煤",4789.14800
LJM1,A2MMZJM1,"1级主焦煤",28898.18000
LJM1,A2MMZJM2,"2级主焦煤",5596.65700
LJM1,A2MMZJM3,"3级主焦煤",20015.72000
LJM4,A2MMFFM1,"1级肥煤",3972.99600
LJM4,A2MMFFM2,"2级肥煤",2247.25200
LJM4,A2MMQQM1,"1级气煤",1798.66300
LJM4,A2MMSJM2,"2级瘦焦煤",4089.31000
LJM4,A2MMSYM1,"1级1/3焦煤",578.50600
LJM4,A2MMSYM2,"2级1/3焦煤",5673.39000
LJM4,A2MMSYM3,"3级1/3焦煤",2145.65800
LJM4,A2MMZJM1,"1级主焦煤",15803.73000
LJM4,A2MMZJM2,"2级主焦煤",7784.13000
LJM4,A2MMZJM3,"3级主焦煤",9270.76700
LJM5,A2MMFFM1,"1级肥煤",5616.32700
LJM5,A2MMGPS,国内贫瘦煤,13004.66000
LJM5,A2MMJPS1,"1级贫瘦煤",2543.18600
LJM5,A2MMQQM1,"1级气煤",824.52000
LJM5,A2MMSYM1,"1级1/3焦煤",589.80000
LJM5,A2MMSYM2,"2级1/3焦煤",1973.80000
LJM5,A2MMSYM3,"3级1/3焦煤",2596.92000
LJM5,A2MMZJM1,"1级主焦煤",18214.54400
LJM5,A2MMZJM2,"2级主焦煤",7122.26100
LJM5,A2MMZJM3,"3级主焦煤",9889.61100
LJXX,A2MMFFM1,"1级肥煤",0.00000
LJXX,A2MMFFM2,"2级肥煤",723.82000
LJXX,A2MMJPS1,"1级贫瘦煤",0.00000
LJXX,A2MMQQM1,"1级气煤",0.00000
LJXX,A2MMSJM2,"2级瘦焦煤",0.00000
LJXX,A2MMSYM3,"3级1/3焦煤",0.00000
LJXX,A2MMZJM1,"1级主焦煤",2421.64000
LJXX,A2MMZJM2,"2级主焦煤",79.80000
LJXX,A2MMZJM3,"3级主焦煤",372.40000
