"合同编号","采购订单号","煤种_品名代码","发货单位代码","供应商_发货单位名称","发站名称","收货单位_焦化厂","铁路车号","货票重量","制表_发出时间","生成时间","到厂_进厂交接时间","在途状态","状态","物料品名代码","采购物料代码","关联状态","收货单位"
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1450904",65.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1865784",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1708800",70.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1868200",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4948673",64.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1580218",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1879907",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1882507",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"4948349",65.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
LGXS26050563,"450018317200010",G3MMZJC,"2700",广西柳钢国际贸易有限公司,防城港,焦化厂,"1732222",71.000,"20260909000003","20260908150445","20260908151800",在途,"2",G3MMZJC,A2MMZJM1,已匹配,焦化厂
