"合同编号","采购订单号","船名","煤种_品名代码","发货单位代码","供应商_发货单位名称","发站名称","收货单位_焦化厂","铁路车号","货票重量","制表_发出时间","生成时间","到厂_进厂交接时间","在途状态","状态","物料品名代码","采购物料代码","关联状态","收货单位"
"212010226070","450018916600010", ,G3MMZJ1,"807840",西部红果煤炭交易有限公司,威箐,焦化厂,"1591683",70.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJ1,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",马尔凯洛,G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"4870452",63.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",马尔凯洛,G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1648178",70.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",马尔凯洛,G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1685796",70.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",马尔凯洛,G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1706788",70.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",马尔凯洛,G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1563383",70.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",马尔凯洛,G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1665330",70.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226070","450018916600010", ,G3MMZJ1,"807840",西部红果煤炭交易有限公司,威箐,焦化厂,"4909884",61.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJ1,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",马尔凯洛,G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1520754",70.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",马尔凯洛,G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1803255",70.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",马尔凯洛,G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1648116",70.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",马尔凯洛,G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"4876891",62.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226070","450018916600010", ,G3MMZJ1,"807840",西部红果煤炭交易有限公司,威箐,焦化厂,"1806287",70.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJ1,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",马尔凯洛,G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1755350",70.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",马尔凯洛,G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1687372",70.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",马尔凯洛,G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"4942818",63.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",马尔凯洛,G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1816102",70.000,"20260909151900","20260909154912","20260909155900",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
