"船名","物料名称","待卸量","合同号_合同简码","采购订单号_合同编码","采购订单行项目号","数据状态","在途开始时间","在途结束时间","履历时间","物料品名代码","采购物料代码","合同编码","关联状态","收货单位"
林登,气煤|进口|俄罗斯|埃尔加,"0","2411848","4500122290","10",完成,,"2024-08-27 10:36:55","2026-09-08 00:00:00",G3MMQQ8,A2MMQQM1,"4500122290",已匹配,焦化厂
东方港,主焦煤|1级|进口|美国|橡树岭,"59450.451","2411851","4500122550","10",完成,,"2024-09-03 08:53:47","2026-09-08 00:00:00",G3MMZJMD,A2MMZJM1,"4500122550",已匹配,焦化厂
芭芭拉,主焦煤|1级|进口|加拿大|瑞峰,"0","2411845","4500122725","10",完成,,"2024-09-15 09:37:44","2026-09-08 00:00:00",G3MMZJC,A2MMZJM1,"4500122725",已匹配,焦化厂
迪特里希,主焦煤|1级|进口|加拿大|瑞峰,"30000","2411856","4500124582","10",完成,,"2024-10-10 12:29:09","2026-09-08 00:00:00",G3MMZJC,A2MMZJM1,"4500124582",已匹配,焦化厂
玛丽安,主焦煤|1级|进口|加拿大|斯坦达,"50000","2411865","4500125605","10",完成,,"2024-10-15 16:53:43","2026-09-08 00:00:00",G3MMZJA,A2MMZJM1,"4500125605",已匹配,焦化厂
玛丽,主焦煤|3级|进口,"7000","2411881","4500125612","10",完成,,,"2026-09-08 00:00:00",G3MMZJG,A2MMZJM4,"4500125612",已匹配,焦化厂
华德209,主焦煤|3级|进口|澳大利亚,"7496","2411897","4500126576","10",完成,,"2024-10-23 11:15:50","2026-09-08 00:00:00",G3MMZJN,A2MMZJM3,"4500126576",已匹配,焦化厂
华德209,主焦煤|3级|进口|澳大利亚,"7496","2411897","4500126576","10",完成,,"2024-10-23 11:15:50","2026-09-08 00:00:00",G3MMZJN,A2MMZJM4,"4500128309",已匹配,焦化厂
华德209,主焦煤|3级|进口|澳大利亚,"7496","2411897","4500126576","10",完成,,"2024-10-23 11:15:50","2026-09-08 00:00:00",G3MMZJN,A2MMZJM3,"4500126786",已匹配,焦化厂
嘉鸿33,主焦煤|3级|进口|澳大利亚,"7444","2411897","4500126786","10",完成,"2024-10-22 10:38:48","2024-10-22 16:18:18","2026-09-08 00:00:00",G3MMZJN,A2MMZJM3,"4500126786",已匹配,焦化厂
嘉鸿33,主焦煤|3级|进口|澳大利亚,"7444","2411897","4500126786","10",完成,"2024-10-22 10:38:48","2024-10-22 16:18:18","2026-09-08 00:00:00",G3MMZJN,A2MMZJM4,"4500128309",已匹配,焦化厂
嘉鸿33,主焦煤|3级|进口|澳大利亚,"7444","2411897","4500126786","10",完成,"2024-10-22 10:38:48","2024-10-22 16:18:18","2026-09-08 00:00:00",G3MMZJN,A2MMZJM3,"4500126576",已匹配,焦化厂
乌利维亚,"1/3焦煤|3级|进口|澳洲|Dawson","20000","2411900","4500126798","10",完成,"2024-10-23 08:24:38","2024-10-23 08:25:03","2026-09-08 00:00:00",G3MMSYF,A2MMSYM3,"4500126798",已匹配,焦化厂
兴宁75,气煤|进口|E|AEJ,"10000","2411903","4500126854","10",完成,"2024-10-23 08:13:25","2024-10-23 17:13:25","2026-09-08 00:00:00",G3MMQQD,A2MMQQM1,"4500126854",已匹配,焦化厂
阿兰,肥煤|进口|美国|Alpha,"9900","2411905","4500126909","10",完成,,,"2026-09-08 00:00:00",G3MMFF5,A2MMFFM2,"4500126909",已匹配,焦化厂
锦航力量,肥煤|进口|美国|Alpha,"9958","2411889","4500126960","10",完成,,"2024-10-28 10:51:39","2026-09-08 00:00:00",G3MMFF5,A2MMFFM2,"4500126960",已匹配,焦化厂
伊甸园,肥煤|进口|美国|Mountain Laurel,"10000","2411911","4500127370","10",完成,"2024-10-24 15:24:27","2024-10-24 17:16:43","2026-09-08 00:00:00",G3MMFF6,A2MMFFM2,"4500127370",已匹配,焦化厂
新顺祥,主焦煤|3级|进口|澳洲|Daunia,"22300","2411913","4500127420","10",完成,"2024-10-24 08:45:01","2024-11-01 15:17:41","2026-09-08 00:00:00",G3MMZJMH,A2MMZJM3,"4500127420",已匹配,焦化厂
新顺祥,主焦煤|3级|进口|澳洲|Daunia,"22300","2411913","4500127420","10",完成,"2024-11-01 11:40:49","2024-11-01 15:17:41","2026-09-08 00:00:00",G3MMZJMH,A2MMZJM3,"4500127420",已匹配,焦化厂
查理,"1/3焦煤|3级|进口|澳洲|Dawson","37052","2411915","4500127477","10",完成,,,"2026-09-08 00:00:00",G3MMSYF,A2MMSYM3,"4500127477",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500127598",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500115470",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500123901",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMJPS1,"4500127928",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500130701",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500118269",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500122577",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500102015",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMJPS1,"4500139232",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500124795",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500125700",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500112445",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500109666",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500120525",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500110782",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500129910",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1, ,"4500145928",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500118108",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1,A2MMSSM1,"4500104707",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1, ,"4500145929",已匹配,焦化厂
锐进吉祥,瘦煤|国内,"14000","2411615","4500127928","10",完成,"2024-12-20 08:59:08","2024-12-20 08:59:37","2026-09-08 00:00:00",G3MMSS1, ,"4500139213",已匹配,焦化厂
