"合同编号","采购订单号","煤种_品名代码","发货单位代码","供应商_发货单位名称","发站名称","船名","收货单位_焦化厂","铁路车号","货票重量","制表_发出时间","生成时间","到厂_进厂交接时间","在途状态","状态","物料品名代码","采购物料代码","关联状态","收货单位"
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1888524",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1801987",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1572077",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4921903",62.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1729867",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4904173",61.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1719740",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1580309",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1528852",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1803958",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1550956",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1751379",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1716503",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4884285",64.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1741069",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1607896",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4913735",61.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1683163",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4929061",62.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"4973688",61.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,马尔凯洛,焦化厂,"1654047",70.000,"20260908151100","20260908154452","20260908155100",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
