"合同编号","采购订单号","煤种_品名代码","发货单位代码","供应商_发货单位名称","发站名称","收货单位_焦化厂","铁路车号","货票重量","制表_发出时间","生成时间","到厂_进厂交接时间","在途状态","状态","物料品名代码","采购物料代码","关联状态","收货单位"
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1722574",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"4921153",61.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1704194",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1611030",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"4911525",62.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1567793",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1700678",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1813911",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1631259",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1691203",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1725318",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1728177",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1833093",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1776468",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1721145",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1848837",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"4895621",61.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1865111",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1576565",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1525552",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1592395",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1616553",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1815885",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1872062",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1557130",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1718593",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1797251",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1803805",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"4948867",63.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1677652",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1730941",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
"212010226072","450018958200010",G3MMZJML,"1200",广西钢铁集团有限公司,铁山港,焦化厂,"1872729",70.000,"20260910135300","20260910143023","20260910143300",已到厂,"1",G3MMZJML,A2MMZJM1,已匹配,焦化厂
