"单位","品名","品名编码","船名","发站","状态","进厂时间","物料描述","料场","净重","委托单位","化验项目","化验值"
广西钢铁集团有限公司,主焦煤|1级|进口|加拿大|普瑞,G3MMZJML,马尔凯洛,铁山港,"4","2026-09-10 00:02:30",,,6745670.0,采购中心,水分,"9.7"
贵州盘江精煤股份有限公司,"1/3焦煤|1级|国内",G3MMSY1,,柏果,"4","2026-09-09 04:57:09",,"4M",613530.0,采购中心,Ad,"10.31"
贵州盘江精煤股份有限公司,"1/3焦煤|1级|国内",G3MMSY1,,柏果,"4","2026-09-09 04:57:09",,"4M",613530.0,采购中心,FCad,"62.54"
贵州盘江精煤股份有限公司,"1/3焦煤|1级|国内",G3MMSY1,,柏果,"4","2026-09-09 04:57:09",,"4M",613530.0,采购中心,Mad,"0.99"
贵州盘江精煤股份有限公司,"1/3焦煤|1级|国内",G3MMSY1,,柏果,"4","2026-09-09 04:57:09",,"4M",613530.0,采购中心,St.d,"0.25"
贵州盘江精煤股份有限公司,"1/3焦煤|1级|国内",G3MMSY1,,柏果,"4","2026-09-09 04:57:09",,"4M",613530.0,采购中心,Vdaf,"29.56"
贵州盘江精煤股份有限公司,"1/3焦煤|1级|国内",G3MMSY1,,柏果,"4","2026-09-09 04:57:09",,"4M",613530.0,采购中心,水分,"11.0"
贵州盘江精煤股份有限公司,"1/3焦煤|1级|国内",G3MMSY1,,柏果,"4","2026-09-09 03:56:55",,"1M",338940.0,采购中心,Ad,"10.26"
贵州盘江精煤股份有限公司,"1/3焦煤|1级|国内",G3MMSY1,,柏果,"4","2026-09-09 03:56:55",,"1M",338940.0,采购中心,FCad,"62.01"
贵州盘江精煤股份有限公司,"1/3焦煤|1级|国内",G3MMSY1,,柏果,"4","2026-09-09 03:56:55",,"1M",338940.0,采购中心,Mad,"0.72"
贵州盘江精煤股份有限公司,"1/3焦煤|1级|国内",G3MMSY1,,柏果,"4","2026-09-09 03:56:55",,"1M",338940.0,采购中心,St.d,"0.25"
贵州盘江精煤股份有限公司,"1/3焦煤|1级|国内",G3MMSY1,,柏果,"4","2026-09-09 03:56:55",,"1M",338940.0,采购中心,Vdaf,"30.40"
贵州盘江精煤股份有限公司,"1/3焦煤|1级|国内",G3MMSY1,,柏果,"4","2026-09-09 03:56:55",,"1M",338940.0,采购中心,水分,"11.6"
