"库区代码","品名代码","品名中文","库存量"
BFM5,A2MMFFM1,"1级肥煤",10020.93000
BFM5,A2MMGPS,国内贫瘦煤,14332.86000
BFM5,A2MMJPS1,"1级贫瘦煤",300.00000
BFM5,A2MMSYM2,"2级1/3焦煤",30881.19000
BFM5,A2MMZJM2,"2级主焦煤",5249.94000
LJM1,A2MMFFM1,"1级肥煤",28315.07100
LJM1,A2MMFFM2,"2级肥煤",38057.42400
LJM1,A2MMJPS1,"1级贫瘦煤",17104.26100
LJM1,A2MMQQM1,"1级气煤",4059.94000
LJM1,A2MMQQM2,"2级气煤",10064.36000
LJM1,A2MMSJM2,"2级瘦焦煤",18914.35100
LJM1,A2MMSYM1,"1级1/3焦煤",12385.58300
LJM1,A2MMSYM2,"2级1/3焦煤",2348.43000
LJM1,A2MMSYM3,"3级1/3焦煤",12758.84400
LJM1,A2MMZJM1,"1级主焦煤",86571.52000
LJM1,A2MMZJM2,"2级主焦煤",9349.33100
LJM1,A2MMZJM3,"3级主焦煤",55845.99000
LJM4,A2MMFFM1,"1级肥煤",13165.59800
LJM4,A2MMFFM2,"2级肥煤",9115.74600
LJM4,A2MMQQM1,"1级气煤",7263.06900
LJM4,A2MMSJM2,"2级瘦焦煤",10243.33000
LJM4,A2MMSYM1,"1级1/3焦煤",2595.65800
LJM4,A2MMSYM2,"2级1/3焦煤",17419.23000
LJM4,A2MMSYM3,"3级1/3焦煤",4463.79400
LJM4,A2MMZJM1,"1级主焦煤",46832.21000
LJM4,A2MMZJM2,"2级主焦煤",27137.16000
LJM4,A2MMZJM3,"3级主焦煤",28003.20100
LJM5,A2MMFFM1,"1级肥煤",13140.07100
LJM5,A2MMGPS,国内贫瘦煤,39013.98000
LJM5,A2MMJPS1,"1级贫瘦煤",8215.49800
LJM5,A2MMQQM1,"1级气煤",2473.56000
LJM5,A2MMSYM1,"1级1/3焦煤",1769.40000
LJM5,A2MMSYM2,"2级1/3焦煤",5921.40000
LJM5,A2MMSYM3,"3级1/3焦煤",7790.76000
LJM5,A2MMZJM1,"1级主焦煤",49733.34200
LJM5,A2MMZJM2,"2级主焦煤",21366.78300
LJM5,A2MMZJM3,"3级主焦煤",26152.19300
LJXX,A2MMFFM1,"1级肥煤",0.00000
LJXX,A2MMFFM2,"2级肥煤",723.82000
LJXX,A2MMJPS1,"1级贫瘦煤",806.14000
LJXX,A2MMQQM1,"1级气煤",0.00000
LJXX,A2MMSJM2,"2级瘦焦煤",338.60000
LJXX,A2MMSYM3,"3级1/3焦煤",714.64000
LJXX,A2MMZJM1,"1级主焦煤",9190.10600
LJXX,A2MMZJM2,"2级主焦煤",79.80000
LJXX,A2MMZJM3,"3级主焦煤",1077.20000
